columnname, legend
database, database (='ReSurveyEU')
resurv_id, resurvey plot id
plot_id, anonymized observation id
ReSur_type, type of resurvey (= 'Permanent' or 'Resampling')
dataset, anonymized dataset name
ESy, Level 3 EUNIS habitat code
habitat, Level 1 EUNIS habitat (= 'Forest' or 'Grassland' or 'Scrub' or 'Wetland')
lon, longitude in WGS84
lat, latitude in WGS84
x, longitude in EPSG:25832
y, latitude in EPSG:25832
elev, elevation a.s.l. in m
year, year of sampling
plot_size, plot size in squared m
n, number of species (species richness)
x_mean, average longitude in EPSG:25832 resurvey observations belonging to the same plot (resurv_id)
y_mean, average latitude in EPSG:25832 resurvey observations belonging to the same plot (resurv_id)
max_dist_m, maximum distance (m) between resurvey observations belonging to the same plot (resurv_id)
n.EIV_M, proportion of species with available EIV for moisture
n.EIV_N, proportion of species with available EIV for nitrogen
n.EIV_R, proportion of species with available EIV for reaction
n.EIV_L, proportion of species with available EIV for light
n.EIV_T, proportion of species with available EIV for temperature
cm.EIV_M, community mean EIV for moisture
cm.EIV_N, community mean EIV for nitrogen
cm.EIV_R, community mean EIV for reaction
cm.EIV_L, community mean EIV for light
cm.EIV_T, community mean EIV for temperature
